state,state_abbr,chip_program_structure,source_name,source_url,date_accessed,review_status
Alabama,AL,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Alaska,AK,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Arizona,AZ,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Arkansas,AR,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
California,CA,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Colorado,CO,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Connecticut,CT,Separate CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Delaware,DE,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
District of Columbia,DC,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Florida,FL,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Georgia,GA,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Hawaii,HI,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Idaho,ID,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Illinois,IL,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Indiana,IN,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Iowa,IA,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Kansas,KS,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Kentucky,KY,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Louisiana,LA,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Maine,ME,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Maryland,MD,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Massachusetts,MA,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Michigan,MI,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Minnesota,MN,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Mississippi,MS,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Missouri,MO,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Montana,MT,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Nebraska,NE,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Nevada,NV,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
New Hampshire,NH,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
New Jersey,NJ,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
New Mexico,NM,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
New York,NY,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
North Carolina,NC,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
North Dakota,ND,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Ohio,OH,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Oklahoma,OK,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Oregon,OR,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Pennsylvania,PA,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Rhode Island,RI,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
South Carolina,SC,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
South Dakota,SD,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Tennessee,TN,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Texas,TX,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Utah,UT,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Vermont,VT,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Virginia,VA,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Washington,WA,Separate CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
West Virginia,WV,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Wisconsin,WI,Both separate CHIP and Medicaid expansion CHIP,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
Wyoming,WY,Medicaid expansion CHIP only,Medicaid.gov CHIP State Program Information - CHIP Program Structure by State map,https://www.medicaid.gov/chip/state-program-information,2026-06-22,needs_review
