state_abbreviation,state_name,latest_reporting_month,latest_total_medicaid_chip_enrollment,change_since_january_2019,percent_change_since_january_2019,last_12_month_change,last_12_month_percent_change,peak_enrollment_month,change_from_peak,percent_change_from_peak,total_medicaid_chip_enrollment_per_1000_residents,applications_per_100000_residents,determinations_per_100000_residents,review_flag_count,latest_month_preliminary_status,missingness_percent
AK,Alaska,2026-02-01,210442.0,-5733.0,-2.652018040939054,-33405.0,-13.699163819936272,2023-04-01,-57627.000000,-21.497077,284.329979,351.423325,291.569218,14,Preliminary,15.7
AL,Alabama,2026-02-01,936918.0,28599.0,3.148563445221338,-18580.0,-1.944535729012515,2023-06-01,-267416.000000,-22.204472,181.654261,239.195812,237.004912,22,Preliminary,15.7
AR,Arkansas,2026-02-01,798482.0,-51862.0,-6.098943486400798,-25763.0,-3.125648320584292,2023-03-01,-289362.000000,-26.599586,258.546138,738.354476,463.256479,27,Preliminary,15.7
AZ,Arizona,2026-02-01,1639141.0,-62309.0,-3.6621117282318014,-220149.0,-11.84048749791587,2023-03-01,-692970.000000,-29.714280,216.177524,523.634783,395.574795,12,Preliminary,15.83
CA,California,2026-02-01,12447923.0,533529.0,4.478020451564721,-1050743.0,-7.784050661006058,2023-06-01,-2014637.000000,-13.930017,315.686642,438.636723,382.886544,18,Preliminary,15.7
CO,Colorado,2026-02-01,1183855.0,-94348.0,-7.38130015341851,-30415.0,-2.504797120903918,2023-05-01,-544755.000000,-31.514049,198.716977,366.446087,297.037697,23,Preliminary,15.7
CT,Connecticut,2026-02-01,903159.0,41182.0,4.777621676680469,-25904.0,-2.7881855159445594,2023-04-01,-118139.000000,-11.567535,245.752937,475.501276,269.736432,20,Preliminary,15.7
DC,District of Columbia,2026-02-01,239206.0,-14452.0,-5.697435129189697,-20919.0,-8.041902931283037,2023-05-01,-58189.000000,-19.566233,340.627981,130.722677,0.000000,13,Preliminary,15.7
DE,Delaware,2026-02-01,238342.0,5728.0,2.4624485198655286,-9508.0,-3.836191244704459,2023-07-01,-72137.000000,-23.234100,226.578713,373.033234,399.841432,25,Preliminary,15.7
FL,Florida,2026-02-01,3580247.0,-99743.0,-2.7104149739537333,-157281.0,-4.208155764986911,2023-04-01,-1538315.000000,-30.053656,153.183898,1024.789478,615.803851,24,Preliminary,15.7
GA,Georgia,2026-02-01,1841369.0,3110.0,0.169181818231272,-107024.0,-5.492936999876308,2023-05-01,-711429.000000,-27.868598,164.689124,510.192491,194.215517,20,Preliminary,15.7
HI,Hawaii,2026-02-01,387233.0,56823.0,17.197724039829303,-16189.0,-4.012919473900778,2023-12-01,-82068.000000,-17.487284,267.768953,235.730002,289.873913,19,Preliminary,15.7
IA,Iowa,2026-02-01,670025.0,-3076.0,-0.4569893671232103,-12209.0,-1.7895619391587052,2023-04-01,-196471.000000,-22.674196,206.702909,564.555537,350.795684,26,Preliminary,15.7
ID,Idaho,2026-02-01,311066.0,43122.0,16.093661362075657,-9241.0,-2.885044660279045,2023-03-01,-149019.000000,-32.389450,155.407198,375.645915,385.038311,26,Preliminary,15.7
IL,Illinois,2026-02-01,2988258.0,3425.0,0.1147467881787691,-216613.0,-6.758867985638112,2023-07-01,-884687.000000,-22.842746,235.107856,1052.779989,305.283380,22,Preliminary,15.7
IN,Indiana,2026-02-01,1438283.0,98741.0,7.371250770785835,-338973.0,-19.07282912534829,2023-04-01,-621374.000000,-30.168810,207.716042,917.540103,688.245340,21,Preliminary,15.7
KS,Kansas,2026-02-01,396574.0,6154.0,1.576251216638492,-24703.0,-5.863837807428367,2023-01-01,-116494.000000,-22.705372,133.499360,439.910241,24.001837,12,Preliminary,15.7
KY,Kentucky,2026-02-01,1305256.0,-9242.0,-0.703082089132125,-77837.0,-5.627748820939734,2023-05-01,-340758.000000,-20.702011,284.470396,177.383176,224.306137,15,Preliminary,15.7
LA,Louisiana,2026-02-01,1367435.0,-184356.0,-11.880208095033415,-158664.0,-10.396704276721234,2023-05-01,-560119.000000,-29.058537,297.414599,529.238278,222.326621,18,Preliminary,15.7
MA,Massachusetts,2026-02-01,1567203.0,-14189.0,-0.8972474882887987,-76187.0,-4.635965899755992,2023-05-01,-467440.000000,-22.974055,219.613992,247.191386,134.750134,23,Preliminary,15.7
MD,Maryland,2026-02-01,1388290.0,60342.0,4.544003229042101,-72653.0,-4.9730208502316655,2023-05-01,-332030.000000,-19.300479,221.657550,2148.894658,1506.285904,27,Preliminary,15.7
ME,Maine,2026-02-01,334056.0,91756.0,37.8687577383409,-11363.0,-3.289627959087369,2023-06-01,-46674.000000,-12.259081,237.760247,468.038707,512.735834,17,Preliminary,15.7
MI,Michigan,2026-02-01,2194454.0,-140641.0,-6.022924120860179,-207924.0,-8.654924412394719,2023-07-01,-933300.000000,-29.839303,216.405786,471.369195,338.860401,24,Preliminary,15.7
MN,Minnesota,2026-02-01,1135076.0,77329.0,7.310727423476503,-33462.0,-2.8635782490599366,2023-06-01,-284544.000000,-20.043674,195.934130,339.694235,148.192236,15,Preliminary,15.7
MO,Missouri,2026-02-01,1242164.0,334268.0,36.8178734128138,-71397.0,-5.43537757287252,2023-06-01,-280291.000000,-18.410462,198.890523,400.594607,401.379177,26,Preliminary,15.7
MS,Mississippi,2026-02-01,587137.0,-5334.0,-0.9002972297378268,-18068.0,-2.985434687419965,2023-06-01,-209676.000000,-26.314330,199.499838,545.251602,290.209630,17,Preliminary,15.7
MT,Montana,2026-02-01,208151.0,-72304.0,-25.780963077855628,-5767.0,-2.6958928187436304,2023-04-01,-122439.000000,-37.036510,183.032853,353.401634,287.891751,28,Preliminary,15.7
NC,North Carolina,2026-02-01,2849341.0,937677.0,49.05030381908118,-13916.0,-0.4860199416259176,2025-07-01,-37704.000000,-1.305972,257.951730,272.152224,406.408677,15,Preliminary,15.7
ND,North Dakota,2026-02-01,103737.0,12677.0,13.921590160333846,-4198.0,-3.8893778663084255,2023-05-01,-32515.000000,-23.863870,130.229936,318.240251,303.426701,20,Preliminary,15.7
NE,Nebraska,2026-02-01,333666.0,86700.0,35.106046986224825,-13404.0,-3.862045120580863,2023-05-01,-66410.000000,-16.599346,166.378371,435.859015,364.603720,18,Preliminary,15.7
NH,New Hampshire,2026-02-01,172022.0,-11630.0,-6.332629102868468,-16719.0,-8.858170720723107,2023-03-01,-81144.000000,-32.051697,122.085233,364.221678,259.894736,17,Preliminary,15.7
NJ,New Jersey,2026-02-01,1739068.0,8256.0,0.4770015460951276,-63758.0,-3.536558713930241,2023-07-01,-533817.000000,-23.486318,183.043393,315.908543,269.954765,24,Preliminary,15.7
NM,New Mexico,2026-02-01,680107.0,-54478.0,-7.416160144843688,-43493.0,-6.010641238253179,2023-03-01,-210671.000000,-23.650225,319.260690,580.916096,597.299104,19,Preliminary,15.7
NV,Nevada,2026-02-01,727300.0,92106.0,14.500451830464394,-44786.0,-5.8006491504832365,2023-05-01,-177169.000000,-19.588178,222.588323,492.032513,263.721103,16,Preliminary,15.79
NY,New York,2026-02-01,6423072.0,284084.0,4.627537959025169,-188622.0,-2.852854351698672,2023-06-01,-1211280.000000,-15.866180,323.299533,2960.062712,588.788140,25,Preliminary,15.7
OH,Ohio,2026-02-01,2681863.0,31307.0,1.181148408107582,-136346.0,-4.838037207318549,2023-04-01,-764800.000000,-22.189579,225.683278,573.771402,296.836637,20,Preliminary,15.7
OK,Oklahoma,2026-02-01,968741.0,238581.0,32.67516708666594,-9566.0,-0.9778116685253198,2023-04-01,-368125.000000,-27.536417,236.544087,1068.175875,1852.227613,20,Preliminary,15.7
OR,Oregon,2026-02-01,1288913.0,305757.0,31.099540662926334,-29473.0,-2.2355364817284165,2023-09-01,-178643.000000,-12.172823,301.685645,331.244641,5231.942638,25,Preliminary,15.7
PA,Pennsylvania,2026-02-01,2994399.0,-22421.0,-0.7431997931596847,-114075.0,-3.669807114359007,2023-04-01,-746647.000000,-19.958242,228.951450,773.307788,654.305598,19,Preliminary,15.7
RI,Rhode Island,2026-02-01,286204.0,-23353.0,-7.544006435002277,-30890.0,-9.7415908216491,2023-05-01,-87785.000000,-23.472616,257.306430,129.550448,179.266894,9,Preliminary,15.97
SC,South Carolina,2026-02-01,967113.0,-81233.0,-7.748682209881089,-96330.0,-9.058313421593825,2023-05-01,-367164.000000,-27.517824,176.518130,281.483404,64.356794,16,Preliminary,15.7
SD,South Dakota,2026-02-01,137536.0,26358.0,23.70792782744788,-7750.0,-5.334306127224922,2023-03-01,-9421.000000,-6.410719,148.740793,465.355711,1972.381468,21,Preliminary,20.53
TN,Tennessee,2026-02-01,1401142.0,-1270.0,-0.0905582667575577,-41052.0,-2.8464963798213003,2023-05-01,-413544.000000,-22.788736,193.855903,424.322922,163.425686,27,Preliminary,15.7
TX,Texas,2026-02-01,3997752.0,-299932.0,-6.978921670369437,-200982.0,-4.786728571040699,2023-05-01,-1978554.000000,-33.106638,127.761132,316.031875,189.477231,24,Preliminary,15.7
UT,Utah,2026-02-01,326311.0,38295.0,13.29613632575968,-17289.0,-5.031722933643771,2023-04-01,-162653.000000,-33.264821,93.135572,700.619618,1102.404860,19,Preliminary,15.7
VA,Virginia,2026-02-01,1660787.0,423525.0,34.23082580730678,-139098.0,-7.728160410248433,2023-05-01,-390932.000000,-19.053876,188.486011,400.297576,329.830403,20,Preliminary,15.7
VT,Vermont,2026-02-01,149308.0,-9132.0,-5.763696036354456,-8597.0,-5.444412779835978,2023-05-01,-45486.000000,-23.350822,230.238414,741.257037,412.032204,22,Preliminary,15.7
WA,Washington,2026-02-01,1784702.0,39647.0,2.271962774812255,-45800.0,-2.502045886866007,2023-05-01,-412693.000000,-18.781011,224.260070,1866.218155,487.624055,16,Preliminary,15.7
WI,Wisconsin,2026-02-01,1118742.0,97291.0,9.524783861389336,-72804.0,-6.110045268919538,2023-06-01,-338762.000000,-23.242612,187.677687,371.969351,277.957884,23,Preliminary,15.7
WV,West Virginia,2026-02-01,487229.0,-34400.0,-6.59472536994684,-23990.0,-4.692705083340017,2023-04-01,-175409.000000,-26.471316,275.273887,1048.995497,434.581427,18,Preliminary,15.7
WY,Wyoming,2026-02-01,58942.0,883.0,1.5208667045591553,-4874.0,-7.637583051272408,2023-07-01,-26876.000000,-31.317439,100.306662,232.463948,351.078422,19,Preliminary,15.7
