state_abbreviation,state_name,latest_reporting_month,latest_total_medicaid_chip_enrollment,latest_medicaid_enrollment,latest_chip_enrollment,state_population,population_denominator_year,population_denominator_source,population_source_url,population_date_accessed,population_notes,applications_per_1000_enrollees,determinations_per_1000_enrollees,determinations_per_application,change_since_january_2019,percent_change_since_january_2019,last_12_month_change,last_12_month_percent_change,latest_applications_submitted,latest_total_determinations,latest_month_preliminary_status,missingness_percent,data_quality_note,medicaid_chip_enrollment_per_1000_residents,medicaid_enrollment_per_1000_residents,chip_enrollment_per_1000_residents,applications_submitted_per_100000_residents,eligibility_determinations_per_100000_residents,map_medicaid_chip_enrollment_per_1000_residents,map_medicaid_enrollment_per_1000_residents,map_chip_enrollment_per_1000_residents,map_applications_per_100000_residents,map_determinations_per_100000_residents
MO,Missouri,2026-02-01,1242164.0,1107774.0,134390.0,6245466,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1511.351983297069,995.1662259079134,0.6584609256520921,334268.0,36.8178734128138,-71397.0,-5.43537757287252,25019.0,25068.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,198.890523,177.372513,21.518010,400.594607,401.379177,198.890523,177.372513,21.518010,400.594607,401.379177
MS,Mississippi,2026-02-01,587137.0,503605.0,83532.0,2943045,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2180.0037141332773,1238.8756840792528,0.5682906299872077,-5334.0,-0.9002972297378268,-18068.0,-2.985434687419965,16047.0,8541.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,199.499838,171.116989,28.382848,545.251602,290.209630,199.499838,171.116989,28.382848,545.251602,290.209630
MT,Montana,2026-02-01,208151.0,188346.0,19805.0,1137233,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1135.879798281838,1060.2071172244016,0.9333796752333292,-72304.0,-25.780963077855628,-5767.0,-2.6958928187436304,4019.0,3274.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,183.032853,165.617776,17.415077,353.401634,287.891751,183.032853,165.617776,17.415077,353.401634,287.891751
NC,North Carolina,2026-02-01,2849341.0,2503652.0,345689.0,11046024,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",997.63310536915,1455.216461105753,1.4586689768753065,937677.0,49.05030381908118,-13916.0,-0.4860199416259176,30062.0,44892.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,257.951730,226.656397,31.295333,272.152224,406.408677,257.951730,226.656397,31.295333,272.152224,406.408677
ND,North Dakota,2026-02-01,103737.0,98345.0,5392.0,796568,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2024.6269938728376,1720.5490056351232,0.8498103654856175,12677.0,13.921590160333846,-4198.0,-3.8893778663084255,2535.0,2417.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,130.229936,123.460897,6.769039,318.240251,303.426701,130.229936,123.460897,6.769039,318.240251,303.426701
NE,Nebraska,2026-02-01,333666.0,296393.0,37273.0,2005465,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2012.5398372798843,1628.099053338988,0.8089773047869203,86700.0,35.106046986224825,-13404.0,-3.862045120580863,8741.0,7312.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,166.378371,147.792657,18.585715,435.859015,364.603720,166.378371,147.792657,18.585715,435.859015,364.603720
NH,New Hampshire,2026-02-01,172022.0,153037.0,18985.0,1409032,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2083.806130978463,1636.1888167793124,0.7851924382289013,-11630.0,-6.332629102868468,-16719.0,-8.858170720723107,5132.0,3662.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,122.085233,108.611444,13.473789,364.221678,259.894736,122.085233,108.611444,13.473789,364.221678,259.894736
NJ,New Jersey,2026-02-01,1739068.0,1482629.0,256439.0,9500851,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1476.7200772512433,1145.0692560014727,0.7754138876021088,8256.0,0.4770015460951276,-63758.0,-3.536558713930241,30014.0,25648.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,183.043393,156.052232,26.991161,315.908543,269.954765,183.043393,156.052232,26.991161,315.908543,269.954765
NM,New Mexico,2026-02-01,680107.0,636198.0,43909.0,2130256,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1370.9658747926112,1362.3072308588587,0.9936842746468344,-54478.0,-7.416160144843688,-43493.0,-6.010641238253179,12375.0,12724.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,319.260690,298.648613,20.612077,580.916096,597.299104,319.260690,298.648613,20.612077,580.916096,597.299104
NV,Nevada,2026-02-01,727300.0,680222.0,47078.0,3267467,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2104.9747750383767,1007.2390732295656,0.4785041061649787,92106.0,14.500451830464394,-44786.0,-5.8006491504832365,16077.0,8617.0,Preliminary,15.79,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,222.588323,208.180220,14.408103,492.032513,263.721103,222.588323,208.180220,14.408103,492.032513,263.721103
NY,New York,2026-02-01,6423072.0,5765633.0,657439.0,19867248,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",4769.616688984734,1345.7035923949766,0.2821408260128813,284084.0,4.627537959025169,-188622.0,-2.852854351698672,588083.0,116976.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,323.299533,290.207934,33.091599,2960.062712,588.788140,323.299533,290.207934,33.091599,2960.062712,588.788140
OH,Ohio,2026-02-01,2681863.0,2439802.0,242061.0,11883304,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1866.0158155367656,1188.1184206051278,0.6367140142718253,31307.0,1.181148408107582,-136346.0,-4.838037207318549,68183.0,35274.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,225.683278,205.313438,20.369840,573.771402,296.836637,225.683278,205.313438,20.369840,573.771402,296.836637
OK,Oklahoma,2026-02-01,968741.0,890835.0,77906.0,4095393,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",3826.22528841025,7980.169565096005,2.0856507297853515,238581.0,32.67516708666594,-9566.0,-0.9778116685253198,43746.0,75856.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,236.544087,217.521249,19.022839,1068.175875,1852.227613,236.544087,217.521249,19.022839,1068.175875,1852.227613
OR,Oregon,2026-02-01,1288913.0,1106086.0,182827.0,4272371,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",953.0716841388128,12093.53991410352,12.689013969637696,305757.0,31.099540662926334,-29473.0,-2.2355364817284165,14152.0,223528.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,301.685645,258.892779,42.792866,331.244641,5231.942638,301.685645,258.892779,42.792866,331.244641,5231.942638
PA,Pennsylvania,2026-02-01,2994399.0,2715845.0,278554.0,13078751,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2502.478545896884,2341.8212603935626,0.935800734129474,-22421.0,-0.7431997931596847,-114075.0,-3.669807114359007,101139.0,85575.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,228.951450,207.653238,21.298211,773.307788,654.305598,228.951450,207.653238,21.298211,773.307788,654.305598
RI,Rhode Island,2026-02-01,286204.0,251044.0,35160.0,1112308,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",417.7207040699725,503.937086470198,1.2063971968834548,-23353.0,-7.544006435002277,-30890.0,-9.7415908216491,1441.0,1994.0,Preliminary,15.97,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,257.306430,225.696480,31.609950,129.550448,179.266894,257.306430,225.696480,31.609950,129.550448,179.266894
SC,South Carolina,2026-02-01,967113.0,853622.0,113491.0,5478831,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1365.5617280348404,398.4384303012916,0.2917762134961694,-81233.0,-7.748682209881089,-96330.0,-9.058313421593825,15422.0,3526.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,176.518130,155.803674,20.714455,281.483404,64.356794,176.518130,155.803674,20.714455,281.483404,64.356794
SD,South Dakota,2026-02-01,137536.0,122936.0,14600.0,924669,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2110.1177453629816,1922.825497030934,0.9112408543344912,26358.0,23.70792782744788,-7750.0,-5.334306127224922,4303.0,18238.0,Preliminary,20.53,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,148.740793,132.951359,15.789434,465.355711,1972.381468,148.740793,132.951359,15.789434,465.355711,1972.381468
TN,Tennessee,2026-02-01,1401142.0,1223332.0,177810.0,7227750,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1430.548791032223,581.7547048501614,0.4066654059596191,-1270.0,-0.0905582667575577,-41052.0,-2.8464963798213003,30669.0,11812.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,193.855903,169.254886,24.601017,424.322922,163.425686,193.855903,169.254886,24.601017,424.322922,163.425686
TX,Texas,2026-02-01,3997752.0,3651928.0,345824.0,31290831,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1908.8062472336544,1193.845072120334,0.6254406773084061,-299932.0,-6.978921670369437,-200982.0,-4.786728571040699,98889.0,59289.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,127.761132,116.709205,11.051928,316.031875,189.477231,127.761132,116.709205,11.051928,316.031875,189.477231
UT,Utah,2026-02-01,326311.0,291629.0,34682.0,3503613,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",5395.188554384013,9840.970539584923,1.824027175396561,38295.0,13.29613632575968,-17289.0,-5.031722933643771,24547.0,38624.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,93.135572,83.236647,9.898924,700.619618,1102.404860,93.135572,83.236647,9.898924,700.619618,1102.404860
VA,Virginia,2026-02-01,1660787.0,1469914.0,190873.0,8811195,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1374.097578988365,2233.243849143318,1.6252440025310804,423525.0,34.23082580730678,-139098.0,-7.728160410248433,35271.0,29062.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,188.486011,166.823456,21.662555,400.297576,329.830403,188.486011,166.823456,21.662555,400.297576,329.830403
VT,Vermont,2026-02-01,149308.0,143842.0,5466.0,648493,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1838.588067404924,1587.4244590096378,0.863393213059524,-9132.0,-5.763696036354456,-8597.0,-5.444412779835978,4807.0,2672.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,230.238414,221.809642,8.428773,741.257037,412.032204,230.238414,221.809642,8.428773,741.257037,412.032204
WA,Washington,2026-02-01,1784702.0,1718979.0,65723.0,7958180,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",6765.649277958696,2320.9444258022445,0.3430482915163037,39647.0,2.271962774812255,-45800.0,-2.502045886866007,148517.0,38806.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,224.260070,216.001523,8.258547,1866.218155,487.624055,224.260070,216.001523,8.258547,1866.218155,487.624055
WI,Wisconsin,2026-02-01,1118742.0,1018694.0,100048.0,5960975,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1361.7141294534538,1096.5343081948809,0.8052602851635188,97291.0,9.524783861389336,-72804.0,-6.110045268919538,22173.0,16569.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,187.677687,170.893855,16.783832,371.969351,277.957884,187.677687,170.893855,16.783832,371.969351,277.957884
WV,West Virginia,2026-02-01,487229.0,447364.0,39865.0,1769979,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2478.615027199884,1229.3657187010272,0.4959889717484097,-34400.0,-6.59472536994684,-23990.0,-4.692705083340017,18567.0,7692.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,275.273887,252.751021,22.522866,1048.995497,434.581427,275.273887,252.751021,22.522866,1048.995497,434.581427
WY,Wyoming,2026-02-01,58942.0,52961.0,5981.0,587618,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1648.894608647466,1094.3578422245062,0.6636918069143133,883.0,1.5208667045591553,-4874.0,-7.637583051272408,1366.0,2063.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,100.306662,90.128281,10.178381,232.463948,351.078422,100.306662,90.128281,10.178381,232.463948,351.078422
